"CLAIM_ID","POLICY_ID","CUSTOMER_ID","CLAIM_DATE","CLAIM_TYPE","CLAIM_STATUS","CLAIM_AMOUNT","APPROVED_AMOUNT","FRAUD_FLAG","FRAUD_SCORE","ASSIGNED_ADJUSTER","RESOLUTION_DATE","DAYS_TO_RESOLVE","FRICTION_POINT","PRIORITY","CREATED_AT"
"CLM-00147","POL-00012","CUST-00194","2026-07-23","Property Damage","Closed",62665.00,8973.00,true,0.67,"David Kim","2026-09-07",32,"Policy verification pending","High","2026-09-08 22:19:51.793"
"CLM-00148","POL-00134","CUST-00193","2026-08-02","Liability","Denied",3624.00,,false,0.12,"Jessica Williams","2026-08-11",24,"Medical records awaited","Medium","2026-09-08 22:19:51.793"
"CLM-00149","POL-00116","CUST-00112","2025-10-14","Natural Disaster","Escalated",58615.00,,false,0.17,"Robert Taylor",,,"Investigation required","Low","2026-09-08 22:19:51.793"
"CLM-00150","POL-00062","CUST-00037","2026-05-23","Accident","Open",72043.00,,false,0.04,"Amanda Martinez",,,"Customer unresponsive","High","2026-09-08 22:19:51.793"
"CLM-00151","POL-00096","CUST-00020","2025-10-25","Theft","Under Investigation",64458.00,,false,0.21,"Christopher Lee",,,"System processing delay","Medium","2026-09-08 22:19:51.793"
"CLM-00152","POL-00090","CUST-00192","2026-06-20","Medical","Approved",8521.00,1080.00,false,0.14,"Sarah Johnson","2026-08-15",1,"Missing documentation","Low","2026-09-08 22:19:51.793"
"CLM-00153","POL-00119","CUST-00091","2026-04-03","Property Damage","Closed",64429.00,40742.00,false,0.19,"Michael Chen","2026-09-04",18,"Adjuster backlog","High","2026-09-08 22:19:51.793"
"CLM-00154","POL-00218","CUST-00133","2025-11-30","Liability","Denied",49871.00,,false,0.37,"Emily Rodriguez","2026-08-14",14,"Third-party delay","Medium","2026-09-08 22:19:51.793"
"CLM-00155","POL-00084","CUST-00146","2026-01-14","Natural Disaster","Escalated",57283.00,,false,0.44,"David Kim",,,"Policy verification pending","Low","2026-09-08 22:19:51.793"
"CLM-00156","POL-00169","CUST-00169","2025-12-19","Accident","Open",42520.00,,false,0.23,"Jessica Williams",,,"Medical records awaited","High","2026-09-08 22:19:51.793"
"CLM-00157","POL-00263","CUST-00129","2025-10-27","Theft","Under Investigation",38202.00,,false,0.32,"Robert Taylor",,,"Investigation required","Medium","2026-09-08 22:19:51.793"
"CLM-00158","POL-00017","CUST-00113","2025-11-21","Medical","Approved",23925.00,50793.00,true,0.71,"Amanda Martinez","2026-09-07",30,"Customer unresponsive","Low","2026-09-08 22:19:51.793"
"CLM-00159","POL-00036","CUST-00068","2025-12-22","Property Damage","Closed",41607.00,42474.00,false,0.1,"Christopher Lee","2026-08-10",20,"System processing delay","High","2026-09-08 22:19:51.793"
"CLM-00160","POL-00081","CUST-00017","2026-08-31","Liability","Denied",24939.00,,false,0.17,"Sarah Johnson","2026-08-20",10,"Missing documentation","Medium","2026-09-08 22:19:51.793"
"CLM-00161","POL-00202","CUST-00122","2026-01-22","Natural Disaster","Escalated",50112.00,,false,0.44,"Michael Chen",,,"Adjuster backlog","Low","2026-09-08 22:19:51.793"
"CLM-00162","POL-00272","CUST-00141","2025-10-18","Accident","Open",25259.00,,false,0.05,"Emily Rodriguez",,,"Third-party delay","High","2026-09-08 22:19:51.793"
"CLM-00163","POL-00059","CUST-00111","2026-04-10","Theft","Under Investigation",1015.00,,false,0.19,"David Kim",,,"Policy verification pending","Medium","2026-09-08 22:19:51.793"
"CLM-00164","POL-00281","CUST-00124","2025-09-17","Medical","Approved",28259.00,5511.00,false,0.21,"Jessica Williams","2026-08-31",23,"Medical records awaited","Low","2026-09-08 22:19:51.793"
"CLM-00165","POL-00178","CUST-00118","2025-09-27","Property Damage","Closed",54423.00,24043.00,false,0.33,"Robert Taylor","2026-08-28",31,"Investigation required","High","2026-09-08 22:19:51.793"
"CLM-00166","POL-00230","CUST-00036","2025-11-26","Liability","Denied",69597.00,,false,0.11,"Amanda Martinez","2026-08-13",33,"Customer unresponsive","Medium","2026-09-08 22:19:51.793"
"CLM-00167","POL-00113","CUST-00156","2026-05-22","Natural Disaster","Escalated",65160.00,,true,0.93,"Christopher Lee",,,"System processing delay","Low","2026-09-08 22:19:51.793"
"CLM-00168","POL-00202","CUST-00104","2026-02-28","Accident","Open",39559.00,,false,0.45,"Sarah Johnson",,,"Missing documentation","High","2026-09-08 22:19:51.793"
"CLM-00169","POL-00229","CUST-00096","2026-04-13","Theft","Under Investigation",72250.00,,false,0.48,"Michael Chen",,,"Adjuster backlog","Medium","2026-09-08 22:19:51.793"
"CLM-00170","POL-00211","CUST-00030","2026-05-03","Medical","Approved",51860.00,58075.00,false,0.05,"Emily Rodriguez","2026-09-03",3,"Third-party delay","Low","2026-09-08 22:19:51.793"
"CLM-00171","POL-00134","CUST-00006","2026-04-21","Property Damage","Closed",46597.00,3640.00,false,0.27,"David Kim","2026-08-27",17,"Policy verification pending","High","2026-09-08 22:19:51.793"
"CLM-00172","POL-00277","CUST-00039","2026-08-01","Liability","Denied",15884.00,,false,0.39,"Jessica Williams","2026-08-25",1,"Medical records awaited","Medium","2026-09-08 22:19:51.793"
"CLM-00173","POL-00200","CUST-00074","2026-05-23","Natural Disaster","Escalated",56265.00,,false,0.29,"Robert Taylor",,,"Investigation required","Low","2026-09-08 22:19:51.793"
"CLM-00174","POL-00146","CUST-00038","2026-04-27","Accident","Open",39614.00,,false,0.29,"Amanda Martinez",,,"Customer unresponsive","High","2026-09-08 22:19:51.793"
"CLM-00175","POL-00202","CUST-00168","2026-07-29","Theft","Under Investigation",51240.00,,false,0.04,"Christopher Lee",,,"System processing delay","Medium","2026-09-08 22:19:51.793"
"CLM-00176","POL-00175","CUST-00070","2025-11-07","Medical","Approved",61402.00,53224.00,false,0.31,"Sarah Johnson","2026-08-09",23,"Missing documentation","Low","2026-09-08 22:19:51.793"
"CLM-00177","POL-00182","CUST-00027","2025-12-27","Property Damage","Closed",4944.00,42856.00,false,0.27,"Michael Chen","2026-08-13",30,"Adjuster backlog","High","2026-09-08 22:19:51.793"
"CLM-00178","POL-00005","CUST-00041","2025-10-02","Liability","Denied",46369.00,,false,0.38,"Emily Rodriguez","2026-09-01",17,"Third-party delay","Medium","2026-09-08 22:19:51.793"
"CLM-00179","POL-00191","CUST-00056","2025-11-10","Natural Disaster","Escalated",63988.00,,false,0.41,"David Kim",,,"Policy verification pending","Low","2026-09-08 22:19:51.793"
"CLM-00180","POL-00126","CUST-00191","2026-03-27","Accident","Open",2415.00,,false,0.18,"Jessica Williams",,,"Medical records awaited","High","2026-09-08 22:19:51.793"
"CLM-00181","POL-00214","CUST-00187","2026-03-27","Theft","Under Investigation",32272.00,,false,0.47,"Robert Taylor",,,"Investigation required","Medium","2026-09-08 22:19:51.793"
"CLM-00182","POL-00096","CUST-00028","2026-03-23","Medical","Approved",31192.00,9228.00,true,0.86,"Amanda Martinez","2026-08-16",16,"Customer unresponsive","Low","2026-09-08 22:19:51.793"
"CLM-00183","POL-00218","CUST-00185","2026-04-04","Property Damage","Closed",3415.00,54653.00,false,0.06,"Christopher Lee","2026-08-30",26,"System processing delay","High","2026-09-08 22:19:51.793"
"CLM-00184","POL-00066","CUST-00179","2025-11-23","Liability","Denied",53325.00,,true,0.7,"Sarah Johnson","2026-08-15",45,"Missing documentation","Medium","2026-09-08 22:19:51.793"
"CLM-00185","POL-00193","CUST-00172","2025-09-28","Natural Disaster","Escalated",48573.00,,false,0.06,"Michael Chen",,,"Adjuster backlog","Low","2026-09-08 22:19:51.793"
"CLM-00186","POL-00134","CUST-00072","2025-11-19","Accident","Open",11119.00,,false,0.54,"Emily Rodriguez",,,"Third-party delay","High","2026-09-08 22:19:51.793"
"CLM-00187","POL-00174","CUST-00116","2025-10-23","Theft","Under Investigation",31167.00,,false,0.14,"David Kim",,,"Policy verification pending","Medium","2026-09-08 22:19:51.793"
"CLM-00188","POL-00251","CUST-00010","2026-01-11","Medical","Approved",60172.00,29493.00,false,0.13,"Jessica Williams","2026-08-09",20,"Medical records awaited","Low","2026-09-08 22:19:51.793"
"CLM-00189","POL-00135","CUST-00164","2025-12-14","Property Damage","Closed",67167.00,55660.00,false,0.34,"Robert Taylor","2026-09-01",18,"Investigation required","High","2026-09-08 22:19:51.793"
"CLM-00190","POL-00065","CUST-00133","2026-08-07","Liability","Denied",50209.00,,false,0.16,"Amanda Martinez","2026-09-05",4,"Customer unresponsive","Medium","2026-09-08 22:19:51.793"
"CLM-00191","POL-00216","CUST-00092","2026-07-30","Natural Disaster","Escalated",36121.00,,false,0.41,"Christopher Lee",,,"System processing delay","Low","2026-09-08 22:19:51.793"
"CLM-00192","POL-00022","CUST-00084","2025-09-22","Accident","Open",72549.00,,false,0.25,"Sarah Johnson",,,"Missing documentation","High","2026-09-08 22:19:51.793"
"CLM-00193","POL-00126","CUST-00138","2025-11-27","Theft","Under Investigation",17614.00,,false,0.27,"Michael Chen",,,"Adjuster backlog","Medium","2026-09-08 22:19:51.793"
"CLM-00194","POL-00109","CUST-00125","2026-03-10","Medical","Approved",27423.00,1067.00,false,0.19,"Emily Rodriguez","2026-08-12",8,"Third-party delay","Low","2026-09-08 22:19:51.793"
"CLM-00195","POL-00045","CUST-00023","2026-09-06","Property Damage","Closed",43044.00,46866.00,false,0.3,"David Kim","2026-08-10",38,"Policy verification pending","High","2026-09-08 22:19:51.793"
"CLM-00196","POL-00120","CUST-00187","2026-01-27","Liability","Denied",72704.00,,false,0.35,"Jessica Williams","2026-08-15",10,"Medical records awaited","Medium","2026-09-08 22:19:51.793"
"CLM-00197","POL-00048","CUST-00122","2026-08-26","Natural Disaster","Escalated",68106.00,,false,0.07,"Robert Taylor",,,"Investigation required","Low","2026-09-08 22:19:51.793"
"CLM-00198","POL-00249","CUST-00197","2025-10-13","Accident","Open",43747.00,,false,0.43,"Amanda Martinez",,,"Customer unresponsive","High","2026-09-08 22:19:51.793"
"CLM-00199","POL-00220","CUST-00105","2026-01-02","Theft","Under Investigation",60393.00,,false,0.04,"Christopher Lee",,,"System processing delay","Medium","2026-09-08 22:19:51.793"
"CLM-00200","POL-00147","CUST-00194","2025-11-03","Medical","Approved",17345.00,22145.00,false,0.38,"Sarah Johnson","2026-08-20",11,"Missing documentation","Low","2026-09-08 22:19:51.793"
"CLM-00201","POL-00013","CUST-00138","2026-02-27","Property Damage","Closed",52506.00,33532.00,false,0.26,"Michael Chen","2026-08-21",16,"Adjuster backlog","High","2026-09-08 22:19:51.793"
"CLM-00202","POL-00264","CUST-00025","2026-03-17","Liability","Denied",41693.00,,false,0.35,"Emily Rodriguez","2026-08-23",14,"Third-party delay","Medium","2026-09-08 22:19:51.793"
"CLM-00203","POL-00242","CUST-00161","2026-01-03","Natural Disaster","Escalated",72647.00,,false,0.21,"David Kim",,,"Policy verification pending","Low","2026-09-08 22:19:51.793"
"CLM-00204","POL-00129","CUST-00197","2026-08-20","Accident","Open",68624.00,,false,0.2,"Jessica Williams",,,"Medical records awaited","High","2026-09-08 22:19:51.793"
"CLM-00205","POL-00210","CUST-00014","2026-01-03","Theft","Under Investigation",21477.00,,false,0.38,"Robert Taylor",,,"Investigation required","Medium","2026-09-08 22:19:51.793"
"CLM-00206","POL-00277","CUST-00132","2025-11-05","Medical","Approved",23172.00,35244.00,false,0.09,"Amanda Martinez","2026-08-14",43,"Customer unresponsive","Low","2026-09-08 22:19:51.793"
"CLM-00207","POL-00095","CUST-00077","2026-07-23","Property Damage","Closed",55410.00,54805.00,false,0.18,"Christopher Lee","2026-08-17",26,"System processing delay","High","2026-09-08 22:19:51.793"
"CLM-00208","POL-00127","CUST-00174","2026-07-16","Liability","Denied",24342.00,,false,0.22,"Sarah Johnson","2026-09-06",37,"Missing documentation","Medium","2026-09-08 22:19:51.793"
"CLM-00209","POL-00006","CUST-00149","2026-01-23","Natural Disaster","Escalated",53678.00,,false,0.26,"Michael Chen",,,"Adjuster backlog","Low","2026-09-08 22:19:51.793"
"CLM-00210","POL-00209","CUST-00120","2026-01-13","Accident","Open",71736.00,,false,0.34,"Emily Rodriguez",,,"Third-party delay","High","2026-09-08 22:19:51.793"
"CLM-00211","POL-00246","CUST-00193","2025-12-25","Theft","Under Investigation",28668.00,,false,0.43,"David Kim",,,"Policy verification pending","Medium","2026-09-08 22:19:51.793"
"CLM-00212","POL-00031","CUST-00035","2026-08-09","Medical","Approved",39219.00,33521.00,true,0.74,"Jessica Williams","2026-09-02",34,"Medical records awaited","Low","2026-09-08 22:19:51.793"
"CLM-00213","POL-00277","CUST-00070","2026-03-14","Property Damage","Closed",13571.00,10309.00,false,0.13,"Robert Taylor","2026-08-18",35,"Investigation required","High","2026-09-08 22:19:51.793"
"CLM-00214","POL-00083","CUST-00152","2026-05-06","Liability","Denied",53645.00,,false,0.21,"Amanda Martinez","2026-08-23",36,"Customer unresponsive","Medium","2026-09-08 22:19:51.793"
"CLM-00215","POL-00057","CUST-00024","2025-12-23","Natural Disaster","Escalated",55069.00,,false,0.12,"Christopher Lee",,,"System processing delay","Low","2026-09-08 22:19:51.793"
"CLM-00216","POL-00126","CUST-00183","2026-06-14","Accident","Open",15918.00,,false,0.32,"Sarah Johnson",,,"Missing documentation","High","2026-09-08 22:19:51.793"
"CLM-00217","POL-00115","CUST-00179","2026-04-01","Theft","Under Investigation",50698.00,,false,0.03,"Michael Chen",,,"Adjuster backlog","Medium","2026-09-08 22:19:51.793"
"CLM-00218","POL-00135","CUST-00183","2025-11-03","Medical","Approved",49154.00,42446.00,false,0.5,"Emily Rodriguez","2026-08-16",33,"Third-party delay","Low","2026-09-08 22:19:51.793"
"CLM-00219","POL-00191","CUST-00168","2026-01-16","Property Damage","Closed",61064.00,3364.00,true,0.78,"David Kim","2026-08-24",1,"Policy verification pending","High","2026-09-08 22:19:51.793"
"CLM-00220","POL-00049","CUST-00057","2026-06-08","Liability","Denied",69329.00,,false,0.52,"Jessica Williams","2026-09-02",4,"Medical records awaited","Medium","2026-09-08 22:19:51.793"
"CLM-00221","POL-00133","CUST-00110","2025-10-16","Natural Disaster","Escalated",18674.00,,false,0.19,"Robert Taylor",,,"Investigation required","Low","2026-09-08 22:19:51.793"
"CLM-00222","POL-00137","CUST-00061","2025-11-07","Accident","Open",24952.00,,false,0.51,"Amanda Martinez",,,"Customer unresponsive","High","2026-09-08 22:19:51.793"
"CLM-00223","POL-00134","CUST-00164","2026-05-07","Theft","Under Investigation",21173.00,,false,0.08,"Christopher Lee",,,"System processing delay","Medium","2026-09-08 22:19:51.793"
"CLM-00224","POL-00279","CUST-00050","2026-08-21","Medical","Approved",62869.00,56283.00,false,0.38,"Sarah Johnson","2026-09-01",13,"Missing documentation","Low","2026-09-08 22:19:51.793"
"CLM-00225","POL-00041","CUST-00129","2025-11-08","Property Damage","Closed",23819.00,24396.00,false,0.34,"Michael Chen","2026-08-28",44,"Adjuster backlog","High","2026-09-08 22:19:51.793"
"CLM-00226","POL-00160","CUST-00060","2026-06-09","Liability","Denied",16142.00,,false,0.23,"Emily Rodriguez","2026-09-04",38,"Third-party delay","Medium","2026-09-08 22:19:51.793"
"CLM-00227","POL-00015","CUST-00168","2026-03-07","Natural Disaster","Escalated",61418.00,,false,0.45,"David Kim",,,"Policy verification pending","Low","2026-09-08 22:19:51.793"
"CLM-00228","POL-00268","CUST-00160","2025-12-18","Accident","Open",38195.00,,false,0.18,"Jessica Williams",,,"Medical records awaited","High","2026-09-08 22:19:51.793"
"CLM-00229","POL-00147","CUST-00187","2026-06-04","Theft","Under Investigation",47414.00,,false,0.02,"Robert Taylor",,,"Investigation required","Medium","2026-09-08 22:19:51.793"
"CLM-00230","POL-00118","CUST-00159","2026-06-13","Medical","Approved",17865.00,9832.00,false,0.17,"Amanda Martinez","2026-08-16",11,"Customer unresponsive","Low","2026-09-08 22:19:51.793"
"CLM-00231","POL-00177","CUST-00190","2026-08-27","Property Damage","Closed",12724.00,20406.00,false,0.45,"Christopher Lee","2026-08-12",44,"System processing delay","High","2026-09-08 22:19:51.793"
"CLM-00232","POL-00028","CUST-00065","2026-07-10","Liability","Denied",16016.00,,true,0.83,"Sarah Johnson","2026-09-01",29,"Missing documentation","Medium","2026-09-08 22:19:51.793"
"CLM-00233","POL-00014","CUST-00070","2026-06-11","Natural Disaster","Escalated",46278.00,,false,0.42,"Michael Chen",,,"Adjuster backlog","Low","2026-09-08 22:19:51.793"
"CLM-00234","POL-00080","CUST-00158","2026-04-11","Accident","Open",66519.00,,false,0.52,"Emily Rodriguez",,,"Third-party delay","High","2026-09-08 22:19:51.793"
"CLM-00235","POL-00258","CUST-00120","2026-06-21","Theft","Under Investigation",26556.00,,true,0.67,"David Kim",,,"Policy verification pending","Medium","2026-09-08 22:19:51.793"
"CLM-00236","POL-00144","CUST-00104","2026-06-03","Medical","Approved",54006.00,49929.00,false,0.36,"Jessica Williams","2026-08-12",22,"Medical records awaited","Low","2026-09-08 22:19:51.793"
"CLM-00237","POL-00163","CUST-00058","2026-07-18","Property Damage","Closed",50024.00,52388.00,false,0.25,"Robert Taylor","2026-08-15",5,"Investigation required","High","2026-09-08 22:19:51.793"
"CLM-00238","POL-00117","CUST-00032","2025-10-12","Liability","Denied",1050.00,,false,0.07,"Amanda Martinez","2026-08-12",39,"Customer unresponsive","Medium","2026-09-08 22:19:51.793"
"CLM-00239","POL-00220","CUST-00195","2025-10-20","Natural Disaster","Escalated",58197.00,,false,0.38,"Christopher Lee",,,"System processing delay","Low","2026-09-08 22:19:51.793"
"CLM-00240","POL-00169","CUST-00005","2026-06-29","Accident","Open",4924.00,,true,0.79,"Sarah Johnson",,,"Missing documentation","High","2026-09-08 22:19:51.793"
"CLM-00241","POL-00173","CUST-00142","2026-01-09","Theft","Under Investigation",30331.00,,false,0.46,"Michael Chen",,,"Adjuster backlog","Medium","2026-09-08 22:19:51.793"
"CLM-00242","POL-00015","CUST-00099","2026-06-15","Medical","Approved",15440.00,14571.00,false,0.15,"Emily Rodriguez","2026-09-02",2,"Third-party delay","Low","2026-09-08 22:19:51.793"
"CLM-00243","POL-00198","CUST-00020","2026-06-24","Property Damage","Closed",11785.00,3905.00,false,0.2,"David Kim","2026-08-27",15,"Policy verification pending","High","2026-09-08 22:19:51.793"
"CLM-00244","POL-00063","CUST-00066","2026-05-23","Liability","Denied",48439.00,,false,0.16,"Jessica Williams","2026-08-24",17,"Medical records awaited","Medium","2026-09-08 22:19:51.793"
"CLM-00245","POL-00253","CUST-00088","2026-01-25","Natural Disaster","Escalated",71425.00,,false,0.23,"Robert Taylor",,,"Investigation required","Low","2026-09-08 22:19:51.793"
"CLM-00246","POL-00058","CUST-00111","2026-07-28","Accident","Open",55369.00,,false,0.08,"Amanda Martinez",,,"Customer unresponsive","High","2026-09-08 22:19:51.793"
"CLM-00247","POL-00102","CUST-00120","2026-02-15","Theft","Under Investigation",43323.00,,false,0.31,"Christopher Lee",,,"System processing delay","Medium","2026-09-08 22:19:51.793"
"CLM-00248","POL-00289","CUST-00070","2026-02-11","Medical","Approved",25738.00,11970.00,false,0.34,"Sarah Johnson","2026-08-14",41,"Missing documentation","Low","2026-09-08 22:19:51.793"
"CLM-00249","POL-00118","CUST-00112","2026-07-23","Property Damage","Closed",68058.00,21155.00,false,0.3,"Michael Chen","2026-08-25",10,"Adjuster backlog","High","2026-09-08 22:19:51.793"
"CLM-00250","POL-00250","CUST-00149","2026-05-18","Liability","Denied",62927.00,,false,0.21,"Emily Rodriguez","2026-08-28",19,"Third-party delay","Medium","2026-09-08 22:19:51.793"
"CLM-00251","POL-00289","CUST-00162","2025-10-13","Natural Disaster","Escalated",52153.00,,false,0.38,"David Kim",,,"Policy verification pending","Low","2026-09-08 22:19:51.793"
"CLM-00252","POL-00120","CUST-00057","2026-01-04","Accident","Open",47698.00,,false,0.26,"Jessica Williams",,,"Medical records awaited","High","2026-09-08 22:19:51.793"
"CLM-00253","POL-00170","CUST-00008","2025-11-15","Theft","Under Investigation",39642.00,,false,0.2,"Robert Taylor",,,"Investigation required","Medium","2026-09-08 22:19:51.793"
"CLM-00254","POL-00032","CUST-00097","2025-11-02","Medical","Approved",55924.00,58512.00,false,0.19,"Amanda Martinez","2026-08-24",40,"Customer unresponsive","Low","2026-09-08 22:19:51.793"
"CLM-00255","POL-00162","CUST-00126","2025-09-09","Property Damage","Closed",40254.00,41555.00,false,0.41,"Christopher Lee","2026-08-22",12,"System processing delay","High","2026-09-08 22:19:51.793"
"CLM-00256","POL-00005","CUST-00077","2026-05-03","Liability","Denied",74060.00,,false,0.14,"Sarah Johnson","2026-08-31",15,"Missing documentation","Medium","2026-09-08 22:19:51.793"
"CLM-00257","POL-00189","CUST-00163","2026-07-29","Natural Disaster","Escalated",18105.00,,false,0.11,"Michael Chen",,,"Adjuster backlog","Low","2026-09-08 22:19:51.793"
"CLM-00258","POL-00082","CUST-00149","2026-02-18","Accident","Open",28096.00,,false,0.08,"Emily Rodriguez",,,"Third-party delay","High","2026-09-08 22:19:51.793"
"CLM-00259","POL-00288","CUST-00180","2026-07-22","Theft","Under Investigation",1774.00,,false,0.12,"David Kim",,,"Policy verification pending","Medium","2026-09-08 22:19:51.793"
"CLM-00260","POL-00017","CUST-00051","2026-04-11","Medical","Approved",58371.00,50709.00,false,0.3,"Jessica Williams","2026-09-04",18,"Medical records awaited","Low","2026-09-08 22:19:51.793"
"CLM-00261","POL-00184","CUST-00097","2026-03-15","Property Damage","Closed",37179.00,9973.00,false,0.15,"Robert Taylor","2026-08-12",33,"Investigation required","High","2026-09-08 22:19:51.793"
"CLM-00262","POL-00213","CUST-00156","2026-01-07","Liability","Denied",14063.00,,false,0.24,"Amanda Martinez","2026-08-15",14,"Customer unresponsive","Medium","2026-09-08 22:19:51.793"
"CLM-00263","POL-00048","CUST-00109","2026-07-27","Natural Disaster","Escalated",38619.00,,true,0.83,"Christopher Lee",,,"System processing delay","Low","2026-09-08 22:19:51.793"
"CLM-00264","POL-00193","CUST-00109","2025-10-29","Accident","Open",74594.00,,false,0.5,"Sarah Johnson",,,"Missing documentation","High","2026-09-08 22:19:51.793"
"CLM-00265","POL-00095","CUST-00091","2026-05-17","Theft","Under Investigation",5345.00,,false,0.44,"Michael Chen",,,"Adjuster backlog","Medium","2026-09-08 22:19:51.793"
"CLM-00266","POL-00002","CUST-00114","2026-04-01","Medical","Approved",6548.00,11185.00,false,0.46,"Emily Rodriguez","2026-09-02",41,"Third-party delay","Low","2026-09-08 22:19:51.793"
"CLM-00267","POL-00055","CUST-00103","2026-03-27","Property Damage","Closed",41544.00,35794.00,false,0.41,"David Kim","2026-08-22",17,"Policy verification pending","High","2026-09-08 22:19:51.793"
"CLM-00268","POL-00168","CUST-00131","2026-05-06","Liability","Denied",71932.00,,false,0.22,"Jessica Williams","2026-08-11",43,"Medical records awaited","Medium","2026-09-08 22:19:51.793"
"CLM-00269","POL-00155","CUST-00162","2025-12-13","Natural Disaster","Escalated",44843.00,,false,0.3,"Robert Taylor",,,"Investigation required","Low","2026-09-08 22:19:51.793"
"CLM-00270","POL-00191","CUST-00144","2026-07-18","Accident","Open",17787.00,,false,0.28,"Amanda Martinez",,,"Customer unresponsive","High","2026-09-08 22:19:51.793"
"CLM-00271","POL-00298","CUST-00081","2026-03-04","Theft","Under Investigation",17958.00,,false,0.38,"Christopher Lee",,,"System processing delay","Medium","2026-09-08 22:19:51.793"
"CLM-00272","POL-00199","CUST-00038","2025-09-17","Medical","Approved",19923.00,17480.00,false,0.49,"Sarah Johnson","2026-08-09",36,"Missing documentation","Low","2026-09-08 22:19:51.793"
"CLM-00273","POL-00234","CUST-00132","2025-12-26","Property Damage","Closed",37015.00,42502.00,false,0.48,"Michael Chen","2026-08-16",24,"Adjuster backlog","High","2026-09-08 22:19:51.793"
"CLM-00274","POL-00265","CUST-00165","2026-05-17","Liability","Denied",53214.00,,false,0.08,"Emily Rodriguez","2026-08-20",17,"Third-party delay","Medium","2026-09-08 22:19:51.793"
"CLM-00275","POL-00010","CUST-00080","2026-01-11","Natural Disaster","Escalated",67794.00,,false,0.53,"David Kim",,,"Policy verification pending","Low","2026-09-08 22:19:51.793"
"CLM-00276","POL-00126","CUST-00068","2026-06-24","Accident","Open",52517.00,,false,0.12,"Jessica Williams",,,"Medical records awaited","High","2026-09-08 22:19:51.793"
"CLM-00277","POL-00257","CUST-00021","2025-11-01","Theft","Under Investigation",44568.00,,false,0.03,"Robert Taylor",,,"Investigation required","Medium","2026-09-08 22:19:51.793"
"CLM-00278","POL-00095","CUST-00147","2026-03-29","Medical","Approved",3633.00,24809.00,false,0.34,"Amanda Martinez","2026-08-18",10,"Customer unresponsive","Low","2026-09-08 22:19:51.793"
"CLM-00279","POL-00251","CUST-00186","2025-10-22","Property Damage","Closed",16515.00,58103.00,false,0.54,"Christopher Lee","2026-08-16",20,"System processing delay","High","2026-09-08 22:19:51.793"
"CLM-00280","POL-00233","CUST-00046","2025-10-11","Liability","Denied",31410.00,,false,0.44,"Sarah Johnson","2026-08-17",10,"Missing documentation","Medium","2026-09-08 22:19:51.793"
"CLM-00281","POL-00034","CUST-00155","2025-09-10","Natural Disaster","Escalated",62832.00,,false,0.51,"Michael Chen",,,"Adjuster backlog","Low","2026-09-08 22:19:51.793"
"CLM-00282","POL-00156","CUST-00192","2026-08-27","Accident","Open",25245.00,,false,0.17,"Emily Rodriguez",,,"Third-party delay","High","2026-09-08 22:19:51.793"
"CLM-00283","POL-00089","CUST-00040","2026-05-03","Theft","Under Investigation",49233.00,,false,0.52,"David Kim",,,"Policy verification pending","Medium","2026-09-08 22:19:51.793"
"CLM-00284","POL-00056","CUST-00145","2026-08-03","Medical","Approved",59271.00,37342.00,false,0.33,"Jessica Williams","2026-09-06",28,"Medical records awaited","Low","2026-09-08 22:19:51.793"
"CLM-00285","POL-00244","CUST-00116","2025-12-28","Property Damage","Closed",74876.00,5706.00,false,0.16,"Robert Taylor","2026-08-25",10,"Investigation required","High","2026-09-08 22:19:51.793"
"CLM-00286","POL-00060","CUST-00139","2026-02-07","Liability","Denied",17230.00,,false,0.33,"Amanda Martinez","2026-08-29",28,"Customer unresponsive","Medium","2026-09-08 22:19:51.793"
"CLM-00287","POL-00234","CUST-00083","2025-11-18","Natural Disaster","Escalated",71674.00,,false,0.11,"Christopher Lee",,,"System processing delay","Low","2026-09-08 22:19:51.793"
"CLM-00288","POL-00057","CUST-00138","2026-03-25","Accident","Open",2948.00,,false,0.23,"Sarah Johnson",,,"Missing documentation","High","2026-09-08 22:19:51.793"
"CLM-00289","POL-00111","CUST-00040","2026-03-13","Theft","Under Investigation",49616.00,,true,0.87,"Michael Chen",,,"Adjuster backlog","Medium","2026-09-08 22:19:51.793"
"CLM-00290","POL-00251","CUST-00072","2026-03-17","Medical","Approved",71508.00,20809.00,false,0.25,"Emily Rodriguez","2026-08-20",6,"Third-party delay","Low","2026-09-08 22:19:51.793"
"CLM-00291","POL-00285","CUST-00123","2026-06-22","Property Damage","Closed",64603.00,28506.00,true,0.71,"David Kim","2026-09-07",6,"Policy verification pending","High","2026-09-08 22:19:51.793"
"CLM-00292","POL-00291","CUST-00056","2025-10-13","Liability","Denied",63305.00,,false,0.21,"Jessica Williams","2026-08-28",39,"Medical records awaited","Medium","2026-09-08 22:19:51.793"
"CLM-00293","POL-00223","CUST-00154","2026-07-10","Natural Disaster","Escalated",22331.00,,true,0.96,"Robert Taylor",,,"Investigation required","Low","2026-09-08 22:19:51.793"
"CLM-00294","POL-00261","CUST-00037","2026-05-02","Accident","Open",6194.00,,true,0.78,"Amanda Martinez",,,"Customer unresponsive","High","2026-09-08 22:19:51.793"
